"James L. Switzer, Eric M. Cobb","Raymond James","Morgan Stanley Wealth Management","$180","08-25-2014"
"Daniel Colluccio","WBI Investments","TD Wealth Management Services","$0","08-25-2014"
"Andrew Lawrence","Waddell and Reed","U.S. Bancorp Investments","$68","08-14-2014"
"Steven Kenny","Waddell and Reed","Wells Fargo Advisors","$50","08-14-2014"
"Joseph L. Bess","Waddell and Reed","J.P. Morgan Securities LLC","$54","08-14-2014"
"Barry Stern","Raymond James","UBS Financial Services","$107","08-14-2014"
"Benjamin W. Wong","Commonwealth Financial Network","Financial Telesis","$700","08-14-2014"
"Pamela Lynn Abraham, Jack E. Thomas, Trevor R. Swartz","Hightower Advisors","Bank of America Merrill Lynch","$800","08-14-2014"
"Thomas H. Carlson","Securities America","VALIC Financial Advisors","$81","08-14-2014"
"Roger J. Rath","RBC Wealth Management","Janney Montgomery Scott","$245","08-11-2014"
"Jim Hofheimer","Rothschild Investment Corp.","Morgan Stanley Wealth Management","$300","08-11-2014"
"Brendan Goldstein, William Patterson","Lebenthal Wealth Advisors","BNY Mellon","$600","08-07-2014"
"Gary Haapala, Carol Sewell, Charles Waterhouse, James Winslow","Arbor Trust Wealth Advisors","United Bank & Trust","$350","08-07-2014"
"Chris O'Neil, Joe Jaensen","Wells Fargo Advisors","Morgan Stanley Wealth Management","$300","08-07-2014"
"M. Greg Foster","Stifel Nicolaus & Co.","McAdams Wright Ragen","$170","08-07-2014"
"Louis Ciliberti ","Ameriprise Financial","American Portfolios","$150","08-04-2014"
"Scott Codacovi","Ameriprise Financial","Park Avenue Securities","$100","08-04-2014"
"Len Clarizio, Tony Sciuto ","Ameriprise Financial","American Portfolios","$114","08-04-2014"
"Tara Rice, Amanda Hancock","Cetera","HMS Financial Group, Raymond James","$0","08-04-2014"
"Kerina Graham","Stratos Wealth Partners","Bank of America Merrill Lynch","$0","08-04-2014"
"Matthew Rogers, Mark Christopher Norton","Raymond James","UBS Financial Services","$200","08-04-2014"
"Lawrence Rudolph, Stanley Levine","Wells Fargo Advisors","Morgan Stanley Wealth Management","$253","07-30-2014"
"Steven T. Lundgren, Phillip Hurner","Wells Fargo Advisors","Morgan Stanley Wealth Management","$214","07-30-2014"
"Robert Satterfield","Morgan Stanley Wealth Management","UBS Financial Services","$180","07-30-2014"
"Michael T. Lee","Pacilio Wealth Management","Morgan Stanley Wealth Management","$0","07-30-2014"
"Nancy Tuininga","Washington Wealth Management","Wells Fargo Advisors","$72","07-28-2014"
"Michael Lee","Washington Wealth Management","Morgan Stanley Wealth Management","$130","07-28-2014"
"Robert Berg","Summit Brokerage Services","Morgan Stanley Wealth Management","$72","07-28-2014"
"Jerome Wall","Investacorp","Lincoln Financial","$50","07-28-2014"
"K. Randall Alston","NPB Financial Group","Foothill Securities","$60","07-28-2014"
"Christopher Fluehr, Jason Mamalis ","Raymond James","Wells Fargo Advisors","$200","07-18-2014"
"Gary Vescio, Brandon Levine","Raymond James","UBS Financial Services","$100","07-18-2014"
"John Poulton","Ameriprise Financial","Morgan Stanley Wealth Management","$125","07-18-2014"
"Christopher Knust","Ameriprise Financial","Morgan Stanley Wealth Management","$147","07-18-2014"
"Don P. Ferguson, Jr.","Capital Investment Co.","Voya Financial Advisors Partners","$155","07-17-2014"
